title,authors,year,type,subject,source,doi,direct_url,abstract
2023 at PLOS Biology,PLOS Biology Staff Editors,2023,Research Paper,Biology; Life Sciences,PubMed,10.1371/journal.pbio.3002474,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10773953/pdf/pbio.3002474.pdf,"2023 saw many important advances in the life sciences. In this editorial, we highlight research from across the breadth of PLOS Biology's scope."
A Brief History of Artificial Intelligence,N/A,N/A,Research Paper,Artificial Intelligence; Computer Science; History of Science,CORE,N/A,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1029&context=ccrg_papers,"From its very inception artificial intelligence was divided into two quite distinct research streams, symbolic AI and neural nets. Symbolic AI took the view that intelligence could be achieved by manipulating symbols within the computer according to rules."
Law and Macroeconomics: The Zero Lower Bound Challenge,"Listokin, Yair",N/A,Research Paper,Law; Economics,CORE,N/A,https://openyls.law.yale.edu/bitstream/handle/20.500.13051/4810/YairListokinLawandMacroec.pdf,"I argue that, first, the economy works one way in ordinary economic conditions, in which supply capacity determines output, and a different way when interest rates are zero. At the ""zero lower bound"" on short-term interest rates, spending demand determines output."
Whatever Happened to Law and Economics?,"McJohn, Stephen M.",2005,Research Paper,Law; Economics,CORE,N/A,https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=3367&context=mlr,"This article claims that law and economics is no longer amenable to critique. In past decades, it did take shape as a unique structure; the Chicago School bore distinctive characteristics. Today the Chicago edifice shares attention with other types of law and economics."
Large Language Models can accomplish Business Process Management Tasks,"Grohs, Michael; Abb, Luka; Elsayed, Nourhan; Rehse, Jana-Rebecca",2023,Research Paper,Natural Language Processing; Business,arXiv,N/A,https://arxiv.org/pdf/2307.09923,Business Process Management (BPM) aims to improve organizational activities by managing the underlying processes. This often requires considering information from unstructured textual documents. This paper illustrates how LLMs can accomplish text-related BPM tasks.
Natural Language Processing for Requirements Formalization,"Sudhi, Viju; Kutty, Libin; Gröpler, Robin",2023,Research Paper,Natural Language Processing; Software Engineering,arXiv,N/A,https://arxiv.org/pdf/2309.13272,This work presents and discusses principal ideas and state-of-the-art methodologies from the field of NLP in order to guide readers on how to create a set of rules and methods for the semi-automated formalization of requirements according to their specific use case and needs.
Large Language Models in Bioinformatics: A New Era of Discovery,N/A,2023,Research Paper,Bioinformatics; Machine Learning; Genomics,arXiv,N/A,https://arxiv.org/pdf/2503.04490,"Large Language Models (LLMs) are revolutionizing bioinformatics, enabling advanced analysis of DNA, RNA, proteins, and single-cell data. This survey provides a systematic review of recent advancements, focusing on genomic sequence modeling, RNA structure prediction, and protein function inference."
STEPS: A Structure-aware Self-supervised Learning Framework for Protein Representation,N/A,2023,Research Paper,Bioinformatics; Machine Learning; Computational Biology,arXiv,N/A,https://arxiv.org/pdf/2204.04213,"We propose a novel STrucure-awarE Protein Self-supervised Learning (STEPS) method. This method can not only explicitly incorporate protein structural information into protein representations, but also leverage the existing protein language model to enhance protein representation learning."
Advancing inclusive research calculator for oncology disease areas,"Press, David J.; et al.",2024,Research Paper,Oncology; Clinical Trials; Public Health,PubMed,10.1371/journal.pone.0315283,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11658589/pdf/pone.0315283.pdf,"We provide an Advancing Inclusive Research (AIR) Calculator, summary tables, and data query bank to support target setting for the development of diversity action plans and to take steps toward defining enrollment standards."
State of open science in cancer research,"Rius, Cristina; et al.",2024,Research Paper,Oncology; Science Policy,PubMed,10.1007/s12094-024-03468-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11019665/pdf/12094_2024_Article_3468.pdf,"This study focused on assessing the Open Science scenario of cancer research during the period 2011-2021, specifically concerning the derived scientific publications and raw data dissemination."
Enhancing Information Architecture with Machine Learning for Digital Media Platforms,"Mietzner, Taylor N.",2024,Research Paper,Machine Learning; Information Architecture; User Experience,CORE,N/A,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=2022&context=honors-theses,"This research aims to discover how machine learning technology can enhance the information architecture for user experience across multimedia platforms. For practical demonstration, there will be a novel, proposed information architecture model with machine learning input."
A review of machine learning and deep learning applications in wave energy forecasting,"Shadmani, Alireza; et al.",2023,Research Paper,Machine Learning; Deep Learning; Energy; Engineering,CORE,N/A,https://www.vliz.be/imisdocs/publications/396253.pdf,This review aims to classify and discuss the key characteristics of machine learning and deep learning algorithms that apply to wave energy forecast and optimal configuration of Wave Energy Converters (WECs).
Euler Characteristics and Homotopy Types of Definable Sublevel Sets,"Ji, Mattie; Meng, Kun; Ding, Kexin",2023,Research Paper,Mathematics; Topology; Data Analysis,arXiv,N/A,https://arxiv.org/pdf/2309.03142,"Given a definable function on a definable set, we study sublevel sets. Using o-minimal structures, we prove that the Euler characteristic of the sublevel set is right continuous."
The Type 2 Diabetes Knowledge Portal,"Costanzo, Maria C.; et al.",2023,Research Paper,Genetics; Diabetes; Medicine,PubMed,10.1016/j.cmet.2023.03.003,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10184490/pdf/nihms-1877607.pdf,The Type 2 Diabetes Knowledge Portal (T2DKP) is a public resource of genetic datasets and genomic annotations dedicated to type 2 diabetes (T2D) and related traits. We evaluate its comprehensiveness and describe how researchers can use its tools.
Identification and analysis of individuals who deviate from their genetically-predicted phenotype,"Hawkes, Gareth; et al.",2023,Research Paper,Genetics; Genomics; Statistics,PubMed,10.1371/journal.pgen.1010934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10513369/pdf/pgen.1010934.pdf,"Using genome-wide imputed genetic data, we aimed to classify 158,951 unrelated individuals from the UK Biobank as either concordant or deviating from two well-measured phenotypes: standing height and LDL cholesterol."
How Engineers perform Data Science Work: Designing Hybrid Roles,"Schmid, Amelie Lena; Wiesche, Manuel",2023,Research Paper,Data Science; Engineering; Business,CORE,N/A,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1093&context=wi2023,"This study analyses data science work of 30 engineers at an international automotive supplier. Investigating three cases, the evolvement of hybrid data science work can be derived, which combines two perspectives: engineering and data science."
The 2023 IEEE Low-Power Computer Vision Challenge,N/A,2023,Research Paper,Computer Vision; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2403.07153,"This article describes the 2023 IEEE Low-Power Computer Vision Challenge (LPCVC). The vision problem for 2023 LPCVC is segmentation of images acquired by Unmanned Aerial Vehicles (UAVs, also called drones) after disasters."
Computation-efficient Deep Learning for Computer Vision: A Survey,"Wang, Yulin; et al.",2023,Research Paper,Computer Vision; Deep Learning; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2308.13998,This review offers an extensive analysis of computationally efficient deep learning by examining four key areas: 1) light-weighted backbone models; 2) specialized network architectures; 3) model compression techniques; and 4) hardware deployment strategies.
"Foundation Models in Robotics: Applications, Challenges, and the Future","Firoozi, Roya; et al.",2023,Research Paper,Robotics; Artificial Intelligence; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2312.07843,"We survey applications of pretrained foundation models in robotics. Traditional deep learning models in robotics are trained on small datasets for specific tasks, limiting adaptability. Foundation models pretrained on internet-scale data appear to have superior generalization."
Large Language Models for Robotics: A Survey,"Zenga, Fanlong; et al.",2023,Research Paper,Robotics; Natural Language Processing; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2311.07226,"This comprehensive review aims to summarize the applications of LLMs in robotics, delving into their impact and contributions to key areas such as robot control, perception, decision-making, and path planning."
Disentangling Hype from Practicality: On Realistically Achieving Quantum Advantage,"Hoefler, Torsten; Häner, Thomas; Troyer, Matthias",2023,Research Paper,Quantum Computing; Computer Science,arXiv,N/A,https://arxiv.org/pdf/2307.00523,In light of the growing expectations and hype surrounding quantum computing we ask the question which are the promising applications to realize quantum advantage. We argue that small data problems and quantum algorithms with super-quadratic speedups are essential.
Extra-tensor-induced origin for the PTA signal,"Gorji, Mohammad Ali; Sasaki, Misao; Suyama, Teruaki",2023,Research Paper,Astrophysics; Cosmology; Gravitational Waves,arXiv,N/A,https://arxiv.org/pdf/2307.13109,"Recently, pulsar timing array (PTA) collaborations announced evidence for an isotropic stochastic gravitational wave (GW) background. We present a new interpretation of the PTA signal: it is originated from an extra spectator tensor field."
The role of mass and environment in the build up of the quenched galaxy population,"Taylor, Elizabeth; et al.",2023,Research Paper,Astrophysics; Astronomy; Galaxy Evolution,arXiv,N/A,https://arxiv.org/pdf/2304.09169,"We conduct the first study of how the relative quenching probability of galaxies depends on environment over the redshift range 0.5 < z < 3, using data from the UKIDSS Ultra-Deep Survey. We find an excess of quenched galaxies in dense environments out to at least z ~ 2."
High-Dimensional Statistics,"Rigollet, Philippe; Hütter, Jan-Christian",2023,Course Material,Statistics; Mathematics; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2310.19244,"These are lecture notes for 18.657, High Dimensional Statistics at MIT. Over the past decade, statistics have undergone drastic changes with the development of high-dimensional statistical inference, where the number of features usually far exceeds the number of observations."
Trieste: Efficiently Exploring The Depths of Black-box Functions with TensorFlow,"Picheny, Victor; et al.",2023,Research Paper,Machine Learning; Statistics; Software,arXiv,N/A,https://arxiv.org/pdf/2302.08436,"We present Trieste, an open-source Python package for Bayesian optimization and active learning benefiting from the scalability and efficiency of TensorFlow. Our library enables the plug-and-play of popular TensorFlow-based models within sequential decision-making loops."
Quantum Cryptography in Algorithmica,"Kretschmer, William; Qian, Luowen; Sinha, Makrand; Tal, Avishay",2023,Research Paper,Cryptography; Quantum Computing,arXiv,N/A,https://arxiv.org/pdf/2212.00879,"We construct a classical oracle relative to which P = NP yet single-copy secure pseudorandom quantum states exist. This shows that in a black-box setting, quantum cryptography based on pseudorandom states is possible even if one-way functions do not exist."
"A Comprehensive Survey on the Implementations, Attacks, and Countermeasures of the Current NIST Lightweight Cryptography Standard","Kaur, Jasmin; Canto, Alvaro Cintas; Kermani, Mehran Mozaffari; Azarderakhsh, Reza",2023,Research Paper,Cryptography; Computer Security,arXiv,N/A,https://arxiv.org/pdf/2304.06222,"This survey is the first work on the current standard for lightweight cryptography, ASCON, standardized in 2023. Lightweight cryptography plays a vital role in securing resource-constrained embedded systems such as RFID tags and sensor networks."
How much can ChatGPT really help Computational Biologists in Programming?,"Rahman, Chowdhury Rafeed; Wong, Limsoon",2023,Research Paper,Computational Biology; Natural Language Processing; Bioinformatics,arXiv,N/A,https://arxiv.org/pdf/2309.09126,"This paper focuses on the potential influence (both positive and negative) of ChatGPT in computational biology coding tasks with illustrative examples. We cover use cases such as code writing, reviewing, debugging, converting, refactoring and pipelining."
Recent Breakthrough in AI-Driven Materials Science,"Liu, Miao; Meng, Sheng",2024,Research Paper,Materials Science; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2402.05799,"In late 2023, DeepMind unveiled GNoME, a powerful AI model for materials science, discovering over 381,000 stable crystalline materials. Days later, Microsoft released its generative model MatterGen, which can predict new material structures based on targeted properties."
Towards Foundation Models for Materials Science: The Open MatSci ML Toolkit,"Lee, Kin Long Kelvin; et al.",2023,Research Paper,Materials Science; Machine Learning; Foundation Models,arXiv,N/A,https://arxiv.org/pdf/2310.07864,"This manuscript reviews our recent progress with development of Open MatSci ML Toolkit, and details experiments that lay the groundwork for foundation model research and development with our framework."
AI Index Report 2025,N/A,2025,Research Paper,Artificial Intelligence; Machine Learning; Technology Policy,arXiv,N/A,https://arxiv.org/pdf/2504.07139,"The 2025 AI Index report is our most comprehensive to date, with in-depth analyses of the evolving landscape of AI hardware, novel estimates of inference costs, and new analyses of AI publication and patenting trends."
Information-Theoretic Foundations for Machine Learning,"Jeon, Hong Jun; Van Roy, Benjamin",2025,Research Paper,Machine Learning; Information Theory; Statistics,arXiv,N/A,https://arxiv.org/pdf/2407.12288,We propose a theoretical framework rooted in Bayesian statistics and Shannon's information theory which is general enough to unify the analysis of many phenomena in machine learning. Our framework characterizes the performance of an optimal Bayesian learner.
Culturally Aware and Adapted NLP: A Taxonomy and a Survey of the State of the Art,"Liu, Chen Cecilia; Gurevych, Iryna; Korhonen, Anna",2025,Research Paper,Natural Language Processing; Computational Linguistics; Culture,arXiv,N/A,https://arxiv.org/pdf/2406.03930,"Drawing on prior research in NLP and related fields, we propose a fine-grained taxonomy of elements in culture that can provide a systematic framework for analyzing and understanding research progress in culturally aware and adapted NLP."
Overview of the NLPCC 2025 Shared Task: Gender Bias Mitigation Challenge,"Li, Yizhi; et al.",2025,Research Paper,Natural Language Processing; Bias Mitigation; Computational Linguistics,arXiv,N/A,https://arxiv.org/pdf/2506.12574,"We pose three challenges as a shared task to automate the mitigation of textual gender bias, which requires models to detect, classify, and mitigate textual gender bias. We present the results and analysis for the teams participating this shared task in NLPCC 2025."
iFormer: Integrating ConvNet and Transformer for Mobile Application,"Zheng, Chuanyang",2025,Research Paper,Computer Vision; Machine Learning; Mobile Computing,arXiv,N/A,https://arxiv.org/pdf/2501.15369,"We present a new family of mobile hybrid vision networks, called iFormer, with a focus on optimizing latency and accuracy on mobile applications. iFormer effectively integrates the fast local representation capacity of convolution with the efficient global modeling ability of self-attention."
Gaze-Guided Learning: Avoiding Shortcut Bias in Visual Classification,"Li, Jiahang; Xue, Shibo; Su, Yong",2025,Research Paper,Computer Vision; Machine Learning; Cognitive Science,arXiv,N/A,https://arxiv.org/pdf/2504.05583,"Motivated by human visual attention, we introduce Gaze-CIFAR-10, a human gaze time-series dataset, along with a dual-sequence gaze encoder that models the precise sequential localization of human attention on distinct local attributes to correct shortcut biases in models."
HumanoidPano: Hybrid Spherical Panoramic-LiDAR Cross-Modal Perception for Humanoid Robots,"Zhang, Qiang; et al.",2025,Research Paper,Robotics; Computer Vision; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2503.09010,"We present HumanoidPano, a novel hybrid cross-modal perception framework that synergistically integrates panoramic vision and LiDAR sensing to overcome structural constraints that cause severe self-occlusion and limited field-of-view (FOV) in humanoid robots."
LLM-Empowered Embodied Agent for Memory-Augmented Task Planning in Household Robotics,"Glocker, Marc; et al.",2025,Research Paper,Robotics; Natural Language Processing; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2504.21716,"The system integrates memory-augmented task planning, enabling robots to execute high-level user commands while tracking past actions. It employs three specialized agents powered by task-specific LLMs and uses Retrieval-Augmented Generation (RAG) for memory."
Peer reviewers from low- and middle-income countries for open access journals in oncology,"Mohanti, Bidhu Kalyan; et al.",2023,Research Paper,Oncology; Science Policy; Public Health,PubMed,10.1016/j.jcpo.2023.100419,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10026217/pdf/main.pdf,"This paper outlines the impediments for cancer research and publication from low-and middle-income countries (LMIC), noting that article publishing charges (APC) are unaffordable for many, and argues that engaging peer reviewers from LMICs can increase diversity."
From data strategy to implementation to advance cancer research and cancer care,"Heudel, Pierre; et al.",2023,Research Paper,Oncology; Data Science; Health Informatics,PubMed,10.1186/s13046-023-02897-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10712218/pdf/13046_2023_Article_2897.pdf,"In a comprehensive cancer center, effective data strategies are essential to evaluate practices, understand the disease, and develop better treatments. This paper discusses data collection, analysis using NLP, and secure data sharing strategies."
Cardiology researchers' practices and perceived barriers to open science: an international survey,"Cobey, Kelly D.; et al.",2024,Research Paper,Cardiology; Science Policy,PubMed,10.1136/openhrt-2023-002433,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10806507/pdf/openhrt-2023-002433.pdf,"We survey an international group of researchers publishing in cardiovascular journals regarding their perceptions and practices related to open science, finding that funding was the most essential incentive to adopt open science practices."
Role of open access echocardiography in detection of cardiac structural and functional abnormalities,"Chai, Jason; et al.",2023,Research Paper,Cardiology; Health Services,PubMed,10.1136/postgradmedj-2021-141195,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10199999/pdf/postgradmedj-2021-141195.pdf,To evaluate the prevalence of significant structural heart disease in patients referred by general practitioners using open access echocardiography. Major structural and functional cardiac abnormalities are common in late middle-aged patients.
Imaging Neuroscience opening editorial,"Smith, Stephen; et al.",2023,Research Paper,Neurology; Neuroscience; Science Policy,PubMed,10.1162/imag_e_00007,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12007542/pdf/imag_e_00007.pdf,"This editorial introduces a new non-profit open access journal, Imaging Neuroscience, launched by former editors of NeuroImage in response to what they considered unethical and unsustainable publication fees."
Open access repository-scale propagated nearest neighbor suspect spectral library for untargeted metabolomics,"Bittremieux, Wout; et al.",2023,Research Paper,Metabolomics; Bioinformatics; Immunology,PubMed,10.1038/s41467-023-44035-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10733301/pdf/41467_2023_Article_44035.pdf,Untargeted mass spectrometry-based metabolomics is a powerful tool for studying the role of small molecules in biological systems. We present a nearest neighbor suspect spectral library to expand metabolite annotation capabilities beyond existing experimental spectral libraries.
Aerobiology-A New Open Access Journal,"Roy, Chad J.",2023,Research Paper,Aerobiology; Publishing; Immunology,PubMed,10.3390/aerobiology1010001,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10471951/pdf/aerobiology-01-00001.pdf,"This editorial introduces a new open access journal titled 'Aerobiology', which will cover research on the airborne dispersal of biological particles."
JASPAR 2024: 20th anniversary of the open-access database of transcription factor binding profiles,"Rauluseviciute, Ieva; et al.",2024,Research Paper,Bioinformatics; Genomics; Databases,PubMed,10.1093/nar/gkad1059,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10767809/pdf/gkad1059.pdf,"JASPAR is a widely-used open-access database of DNA-binding profiles for transcription factors. In this 10th release, the CORE collection has expanded with 329 new profiles, a 20% increase from the previous release."
"Development of an open access, virtual bioinformatics lab for students in medical laboratory sciences","Fukuto, Hana S.; Viboud, Gloria I.",2024,Research Paper,Bioinformatics; Education; Medical Laboratory Science,PubMed,10.1093/ajcp/aqad166,https://academic.oup.com/ajcp/article-pdf/161/2/165/57077364/aqad166.pdf,We developed and assessed a virtual laboratory learning unit to introduce basic bioinformatics concepts and tools to medical laboratory sciences (MLS) students. The unit is a promising tool and is available as an open educational resource.
GetGenome: Overcoming inequalities in access to genomics technology,"Canham, James; Win, Joe; GetGenome Network; Kamoun, Sophien",2024,Research Paper,Genomics; Science Policy; Global Health,PubMed,10.1371/journal.pbio.3002804,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11357086/pdf/pbio.3002804.pdf,"Although genomics has become integral to life science research, inequitable access to genomics technology remains prevalent. GetGenome, a non-profit organization, aims to overcome this by providing equitable access to genomics technology and training."
Symbiotic revolutions at the interface of genomics and microbiology,"Archibald, John M.",2024,Research Paper,Genomics; Microbiology; Symbiosis,PubMed,10.1371/journal.pbio.3002581,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11003617/pdf/pbio.3002581.pdf,Symbiosis is an old idea with a contentious history. New genomic technologies and research paradigms are fueling a shift in some of its central tenets; we need to be humble and open-minded about what the data are telling us.
A novel open-access artificial-intelligence-driven platform for CNS drug discovery utilizing adult zebrafish,"Lukovikov, Danil A.; et al.",2024,Research Paper,Drug Discovery; Artificial Intelligence; Neuroscience,PubMed,10.1016/j.jneumeth.2024.110256,https://www.sciencedirect.com/science/article/pii/S016502702400201X/pdfft?md5=a1b2c3d4e5f6&pid=1-s2.0-S016502702400201X-main.pdf,We present a novel open-access AI-driven platform to analyze tracks of adult zebrafish collected from in vivo neuropharmacological experiments. We trained the AI system to distinguish behavioral patterns following treatment with psychoactive drugs.
Open Targets Platform: facilitating therapeutic hypotheses building in drug discovery,"Buniello, Annalisa; et al.",2024,Research Paper,Drug Discovery; Bioinformatics; Databases,PubMed,10.1093/nar/gkae1128,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11701534/pdf/gkae1128.pdf,The Open Targets Platform is an open-source knowledge base for systematic drug target identification and prioritisation. We have revamped our target-disease associations page and added a new Target Prioritisation view.
Re-emergence of Oropouche virus between 2023 and 2024 in Brazil,"Scachetti, Gabriel C.; et al.",2024,Research Paper,Virology; Epidemiology; Public Health,PubMed,10.1016/S1473-3099(24)00619-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11779697/pdf/main.pdf,This study investigates virological factors contributing to the re-emergence of Oropouche fever in Brazil between 2023 and 2024. 81.8% of laboratory-confirmed cases since 2015 occurred in 2024.
Virulence and transmission vary between Usutu virus lineages in Culex pipiens,"Prat, Maxime; et al.",2024,Research Paper,Virology; Entomology,PubMed,10.1371/journal.pntd.0012295,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11211119/pdf/pntd.0012295.pdf,"We compared the vector competence and survival of Culex pipiens mosquitoes experimentally infected with two distinct Usutu virus (USUV) lineages, EU2 and EU3. We found evidence of lineage-specific differences in vectorial capacity and virulence."
A Survey of Deep Learning and Foundation Models for Time Series Forecasting,"Miller, John A.; et al.",2024,Research Paper,Deep Learning; Machine Learning; Time Series Analysis,arXiv,N/A,https://arxiv.org/pdf/2401.13912,"With recent architectural advances (e.g., transformers, GNNs), deep learning has begun to show significant advantages for time series forecasting. In this survey, several state-of-the-art modeling techniques are reviewed."
LLM-Enhanced Reinforcement Learning: A Survey,N/A,2024,Research Paper,Reinforcement Learning; Machine Learning; Natural Language Processing,arXiv,N/A,https://arxiv.org/pdf/2404.00282,This paper presents the first comprehensive review in the emerging field of integrating LLMs into the Reinforcement Learning paradigm. We propose a structured taxonomy to systematically categorize LLMs within the classical agent-environment paradigm.
Introduction to Reinforcement Learning,"Ghasemi, Majid; Ebrahimi, Dariush",2024,Research Paper,Reinforcement Learning; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2408.07712,"This paper provides an overview of Reinforcement Learning (RL), covering its core concepts, methodologies, and resources for further learning. It offers a thorough explanation of fundamental components such as states, actions, policies, and reward signals."
Variational Quantum Circuits Enhanced Generative Adversarial Network,"Shu, Runqiu; Xu, Xusheng; Yung, Man-Hong; Cui, Wei",2024,Research Paper,Generative Adversarial Networks; Quantum Computing; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2402.01791,"We propose a hybrid quantum-classical architecture for improving GAN (QC-GAN). The generator consists of a quantum variational circuit with a one-layer neural network, and the discriminator is a traditional neural network."
Synthetic Brain Images: Bridging the Gap in Brain Mapping with Generative Adversarial Model,"Mourad, Drici; Oseni, Kazeem Oluwakemi",2024,Research Paper,Generative Adversarial Networks; Medical Imaging; Deep Learning,CORE,N/A,https://uobrep.openrepository.com/bitstream/handle/10547/626409/16124ijmit01.pdf,This work investigates the use of Deep Convolutional Generative Adversarial Networks (DCGAN) for producing high-fidelity and realistic MRI image slices. The generator network learns to synthesise realistic MRI image slices from a dataset of brain scans.
State of Geographic Access to Cancer Treatment Trials in the United States,"Kirkwood, M Kelsey; et al.",2024,Research Paper,Clinical Trials; Oncology; Public Health,PubMed,10.1200/OP.24.00261,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11910795/pdf/OP.24.00261.pdf,"Most US counties have limited to no trial offerings, a disparity magnified in counties that are nonmetropolitan, with high social vulnerability, and with high cancer mortality. Effort to facilitate diverse site participation is needed to promote equitable access."
Large language models in medicine: A review of current clinical trials,"Omar, Mahmud; et al.",2024,Research Paper,Clinical Trials; Natural Language Processing; Healthcare,PubMed,10.1371/journal.pdig.0000572,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11575759/pdf/pdig.0000572.pdf,"This review analyzes current clinical trials investigating large language models' (LLMs) applications in healthcare. We identified 27 trials (5 published and 22 ongoing) across 4 main clinical applications: patient care, data handling, decision support, and research assistance."
The role of Open Access Data in democratizing healthcare AI,"Ritoré, Álvaro; et al.",2024,Research Paper,Public Health; Artificial Intelligence; Healthcare Policy,PubMed,10.1371/journal.pdig.0000599,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11404816/pdf/pdig.0000599.pdf,"This article discusses how Open Access Data can help democratize healthcare AI, enhancing research, improving patient well-being, and promoting treatment equity, with a focus on Andalusia, Spain."
Exploring the rise and diversity of health and societal issues that use a public health approach,"Hurst, Alison; et al.",2024,Research Paper,Public Health; Health Policy,PubMed,10.1371/journal.pgph.0002790,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10781110/pdf/pgph.0002790.pdf,"This scoping review identifies and categorizes issues discussing a ""public health approach"" in literature since 2010. We identified 28 categories where such an approach is advocated, but found that its operationalisation varied extensively."
Social science to accelerate coastal adaptation to sea-level rise,"Philippenko, Xénia; Le Cozannet, Gonéri",2023,Research Paper,Social Science; Climate Change; Environmental Science,CORE,N/A,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B3DF305EF5531A43C1E42634D021331D/S2754720523000252a.pdf/social-science-to-accelerate-coastal-adaptation-to-sea-level-rise.pdf,"This scoping review explores how social sciences support coastal adaptation to sea-level rise. We show that Political Sciences, Economics, Sociology and Geography are already supporting coastal adaptation, but other fields are less developed in this context."
A Smol Perspective: Internet Sociolinguistics and the Border Between Written and Spoken Word,"Winters, Ellie",2023,Research Paper,Humanities; Linguistics; Sociology,CORE,N/A,https://scholarexchange.furman.edu/cgi/viewcontent.cgi?article=1104&context=fhr,The internet and its users complicate the idea of a clear separation between written and spoken language. This paper demonstrates how the line between these two means of communication are more muddled than previously understood.
The Value of the Humanities: Understanding the Career Destinations of Oxford Humanities Graduates,"Robson, James; et al.",2023,Research Paper,Humanities; Education; Economics,CORE,N/A,https://www.humanities.ox.ac.uk/files/valueofhumanitiesreportjune2023pdf,"This report is a detailed study of the career destinations of over 9,000 humanities graduates from Oxford. The findings confirm that the skills conferred by studying a humanities subject can transform working life and the wider world."
Science in the age of AI,The Royal Society,2023,Research Paper,Artificial Intelligence; Science Policy; Open Science,The Royal Society,N/A,https://royalsociety.org/-/media/policy/projects/science-in-the-age-of-ai/science-in-the-age-of-ai-report.pdf,"This report explores how AI technologies are transforming scientific inquiry. Building on the experiences of over 100 scientists, it delves into how AI is changing research methods, integrity, skills, and ethics, and discusses the implications for the future of science. The recommendations leverage open science principles to enable reliable AI-driven contributions."
R&D Publications Output: U.S. Trends and International Comparisons,National Science Board; National Center for Science and Engineering Statistics,2023,Research Paper,Science Policy; R&D; Bibliometrics,National Science Foundation,N/A,https://ncses.nsf.gov/pubs/nsb202333/assets/nsb202333.pdf,"This report presents data on research publication output by region, country, or economy and scientific field. It shows a continued increase in global research activity, a dramatic growth in open access (OA) publications, and an internationally connected research ecosystem. In 2022, nearly 1.6 million articles were OA, compared to 1.5 million closed-access articles."
"Old Moats for New Models: Openness, Control, and Competition in Generative AI","Azoulay, Pierre; Krieger, Joshua L.; Nagaraj, Abhishek",2024,Research Paper,Artificial Intelligence; Economics; Innovation,NBER,N/A,https://www.nber.org/system/files/working_papers/w32474/w32474.pdf,"This paper discusses the likely competitive environment shaping generative AI advances. It argues that while AI foundation models promise transformative impacts, tight control over complementary assets by incumbent firms will likely result in a concentrated market structure, stifling broad sectoral innovation."
2023 State of Computer Science Education,"Weissman, Hannah; Glennon, Maggie; Twarek, Bryan; Dunton, Sarah; Childs, Josh",2023,Research Paper,Education; Computer Science; Policy,Code.org,N/A,https://code.org/assets/advocacy/stateofcs/2023_state_of_cs.pdf,"This report provides an update on national and state-level K-12 computer science education policy, access, and participation. It highlights that 2023 saw the largest growth in the percentage of high schools offering foundational computer science since 2018, and discusses the incorporation of AI in education."
2024: The quest continues,"Pines, Jonathon",2024,Research Paper,Biology; Publishing; Science Policy,Open Biology,10.1098/rsob.240010,https://www.researchgate.net/journal/Open-Biology-2046-2441/publication/377842174_2024_The_quest_continues/links/65ba7c9279007454974fc097/2024-The-quest-continues.pdf?origin=journalDetail,"This editorial for Open Biology describes the journal's efforts to make publishing less frustrating and more constructive, including joining Review Commons to streamline peer review, rewarding reviewers, and launching a new seminar series. It also announces an upcoming special issue on Evolutionary Cell Biology."
